disease_id,disease_name,disease_name_upper
7312,Charcot-Marie-Tooth disease with ptosis and parkinsonism,CHARCOT-MARIE-TOOTH DISEASE WITH PTOSIS AND PARKINSONISM
14803,spasticity-ataxia-gait anomalies syndrome,SPASTICITY-ATAXIA-GAIT ANOMALIES SYNDROME
9577,megalocornea-intellectual disability syndrome,MEGALOCORNEA-INTELLECTUAL DISABILITY SYNDROME
9712,congenital multicore myopathy with external ophthalmoplegia,CONGENITAL MULTICORE MYOPATHY WITH EXTERNAL OPHTHALMOPLEGIA
14555_54852_24548_14923_11937_19347,peeling skin syndrome,PEELING SKIN SYNDROME
12238_24528_12415_20845_14898_14656_12241_13117_9783_90,progressive external ophthalmoplegia with mitochondrial DNA deletions,PROGRESSIVE EXTERNAL OPHTHALMOPLEGIA WITH MITOCHONDRIAL DNA DELETIONS
11670,Ehlers-Danlos syndrome due to tenascin-X deficiency,EHLERS-DANLOS SYNDROME DUE TO TENASCIN-X DEFICIENCY
11177_13976_13975_13313_32804_13973_13974_44305_10955_23040_23041_23042,ectodermal dysplasia,ECTODERMAL DYSPLASIA
33622_14365_14366_30844_32859_14961_32744_20851_32739_7161_54723_20852_54726_11720_54730_32863_7060_33673_14970_32845_54725_30938_14847_54724_54615_30846_14172_54732_54729_32686_30868_33671_9776_13505_29147_54728_54731_54727_10052_20855_32896_29148_14037_32748_13504_32898_54733_13070_13901_30926_30989,spermatogenic failure,SPERMATOGENIC FAILURE
7794_9239_9223_13912_13961_7844_13946_14105_13910_14102_12880_14461_9482_30010_14107_13914_10635_14106_13911_12528_13926_13913_12988_14103_13915,hypogonadotropic hypogonadism with or without anosmia,HYPOGONADOTROPIC HYPOGONADISM WITH OR WITHOUT ANOSMIA
14078_13623_13597_32765_13622_14518_14386_11588_12354_12031_54577_8553_14830_8552_30996,platelet-type bleeding disorder,PLATELET-TYPE BLEEDING DISORDER
7411_14706_13751,"cutis laxa, autosomal dominant","CUTIS LAXA, AUTOSOMAL DOMINANT"
14502,mendelian susceptibility to mycobacterial diseases due to complete ISG15 deficiency,MENDELIAN SUSCEPTIBILITY TO MYCOBACTERIAL DISEASES DUE TO COMPLETE ISG15 DEFICIENCY
10070,"brachyolmia type 1, Hobaek type","BRACHYOLMIA TYPE 1, HOBAEK TYPE"
8596_8597_7874_19176_17951,trichorhinophalangeal syndrome,TRICHORHINOPHALANGEAL SYNDROME
18959,potassium-aggravated myotonia,POTASSIUM-AGGRAVATED MYOTONIA
10957,"agonadism, 46,XY, with intellectual disability, short stature, retarded bone age, and multiple extragenital malformations","AGONADISM, 46,XY, WITH INTELLECTUAL DISABILITY, SHORT STATURE, RETARDED BONE AGE, AND MULTIPLE EXTRAGENITAL MALFORMATIONS"
33541_14280_13500_14278_10296_33542_32723_14597_14727_8856_54696_32599_20849_32763_30858_30013_10504_14453_12426_10386_32803_14491_13427_14222_14981_13953_21094_30898_30973_30981,immunodeficiency,IMMUNODEFICIENCY
7793,hypochondroplasia,HYPOCHONDROPLASIA
11703,spongiform encephalopathy with neuropsychiatric features,SPONGIFORM ENCEPHALOPATHY WITH NEUROPSYCHIATRIC FEATURES
8840,ataxia telangiectasia,ATAXIA TELANGIECTASIA
11108,Stüve-Wiedemann syndrome,STÜVE-WIEDEMANN SYNDROME
18855_21036,keratosis pilaris,KERATOSIS PILARIS
10803,Eiken syndrome,EIKEN SYNDROME
14619_14615_11125,trichothiodystrophy photosensitive,TRICHOTHIODYSTROPHY PHOTOSENSITIVE
10102,taurodontia-absent teeth-sparse hair syndrome,TAURODONTIA-ABSENT TEETH-SPARSE HAIR SYNDROME
11275_8703_12274,acromesomelic dysplasia,ACROMESOMELIC DYSPLASIA
10678,"muscular dystrophy, progressive Pectorodorsal","MUSCULAR DYSTROPHY, PROGRESSIVE PECTORODORSAL"
7183,"azotemia, familial","AZOTEMIA, FAMILIAL"
9806_12217_17195,Bruck syndrome,BRUCK SYNDROME
12655_13665_60671_12134,"myoclonic epilepsy, juvenile, susceptibility to","MYOCLONIC EPILEPSY, JUVENILE, SUSCEPTIBILITY TO"
10741,"tooth agenesis, selective, X-linked, 1","TOOTH AGENESIS, SELECTIVE, X-LINKED, 1"
10547,X-linked progressive cerebellar ataxia,X-LINKED PROGRESSIVE CEREBELLAR ATAXIA
9520,3-hydroxy-3-methylglutaric aciduria,3-HYDROXY-3-METHYLGLUTARIC ACIDURIA
12063,ulnar/fibula ray defect-brachydactyly syndrome,ULNAR/FIBULA RAY DEFECT-BRACHYDACTYLY SYNDROME
8527,tarsal coalition,TARSAL COALITION
11814_14087_15799,Smith-McCort dysplasia,SMITH-MCCORT DYSPLASIA
8265_14860,polycystic liver disease,POLYCYSTIC LIVER DISEASE
12945_11691_12077_8780_11196_27694_11951_10459_11223_11632_14223_12790_12753_13715_7103_13264_13891_14181_4976_5145_11952,amyotrophic lateral sclerosis,AMYOTROPHIC LATERAL SCLEROSIS
10615_13006_8250_32569_9876_32567,isolated growth hormone deficiency,ISOLATED GROWTH HORMONE DEFICIENCY
13141_15372,autosomal dominant macrothrombocytopenia,AUTOSOMAL DOMINANT MACROTHROMBOCYTOPENIA
9705,carnitine palmitoyl transferase 1A deficiency,CARNITINE PALMITOYL TRANSFERASE 1A DEFICIENCY
7943,Nager acrofacial dysostosis,NAGER ACROFACIAL DYSOSTOSIS
8045,spinal muscular atrophy-progressive myoclonic epilepsy syndrome,SPINAL MUSCULAR ATROPHY-PROGRESSIVE MYOCLONIC EPILEPSY SYNDROME
9429,"hypophosphatemia, renal, with intracerebral calcifications","HYPOPHOSPHATEMIA, RENAL, WITH INTRACEREBRAL CALCIFICATIONS"
14992_30031_13527_15148_15146,lissencephaly,LISSENCEPHALY
7366_42499_11593_10021_11904_17615_7365_11990_14903_15637_11140_2016_12965,benign familial neonatal-infantile seizures,BENIGN FAMILIAL NEONATAL-INFANTILE SEIZURES
60527,maleylacetoacetate isomerase deficiency,MALEYLACETOACETATE ISOMERASE DEFICIENCY
9681_14654_355,Ullrich congenital muscular dystrophy,ULLRICH CONGENITAL MUSCULAR DYSTROPHY
10173,Mayer-Rokitansky-Kuster-Hauser syndrome type 1,MAYER-ROKITANSKY-KUSTER-HAUSER SYNDROME TYPE 1
7976,mesomelic dwarfism of hypoplastic tibia and radius type,MESOMELIC DWARFISM OF HYPOPLASTIC TIBIA AND RADIUS TYPE
10218_13120_9301_13410_10226_10442_20712_14634_100250_30049_7938_60489_13066_14480,"46,XX sex reversal","46,XX SEX REVERSAL"
11136,Quebec platelet disorder,QUEBEC PLATELET DISORDER
8149,"osteogenesis imperfecta with opalescent teeth, blue sclerae and wormian bones but without fractures","OSTEOGENESIS IMPERFECTA WITH OPALESCENT TEETH, BLUE SCLERAE AND WORMIAN BONES BUT WITHOUT FRACTURES"
9155,EEM syndrome,EEM SYNDROME
14542_18940_12518_14587_14052_14983_14582_11600_14468_14586_14585_14588_14543_14590_14583_14581_14745_14939_9690_11088_44299_13620_9689_14584_11281_12157_14578_13883,congenital myasthenic syndrome,CONGENITAL MYASTHENIC SYNDROME
44721,severe combined immunodeficiency due to LAT deficiency,SEVERE COMBINED IMMUNODEFICIENCY DUE TO LAT DEFICIENCY
9740,neurofaciodigitorenal syndrome,NEUROFACIODIGITORENAL SYNDROME
12662_29141_10169_13935_11186_13788_10984_10168_11748_32841_10170_14001_10171_11195_11558_19501_16484_16485_12968,Usher syndrome,USHER SYNDROME
14338,IL21-related infantile inflammatory bowel disease,IL21-RELATED INFANTILE INFLAMMATORY BOWEL DISEASE
7048,acrokeratosis verruciformis,ACROKERATOSIS VERRUCIFORMIS
14820,mitochondrial DNA depletion syndrome 14 (cardioencephalomyopathic type),MITOCHONDRIAL DNA DEPLETION SYNDROME 14 (CARDIOENCEPHALOMYOPATHIC TYPE)
7841,coxopodopatellar syndrome,COXOPODOPATELLAR SYNDROME
13809,"cerebellar ataxia, neuropathy, and vestibular areflexia syndrome","CEREBELLAR ATAXIA, NEUROPATHY, AND VESTIBULAR AREFLEXIA SYNDROME"
32775,neurodevelopmental disorder with seizures and speech and walking impairment,NEURODEVELOPMENTAL DISORDER WITH SEIZURES AND SPEECH AND WALKING IMPAIRMENT
7039_7245_18975_21061_8075,neurofibromatosis,NEUROFIBROMATOSIS
9816_11877_12679_14040_9817_12676_20848_8156_9818_12859_9815_19026_20645,osteopetrosis,OSTEOPETROSIS
13081_14054_16537,lymphoproliferative syndrome,LYMPHOPROLIFERATIVE SYNDROME
13017_11452_10206_11549_13649_7805_14384_13650_13514_14027_14390_7806_32649_11932_18914_3037,hypotrichosis,HYPOTRICHOSIS
11335_7738,spondyloepimetaphyseal dysplasia with joint dislocations,SPONDYLOEPIMETAPHYSEAL DYSPLASIA WITH JOINT DISLOCATIONS
10570,craniofrontonasal syndrome,CRANIOFRONTONASAL SYNDROME
14227,hypopigmentation-punctate palmoplantar keratoderma syndrome,HYPOPIGMENTATION-PUNCTATE PALMOPLANTAR KERATODERMA SYNDROME
13087_8887_13112,bronchiectasis with or without elevated sweat chloride,BRONCHIECTASIS WITH OR WITHOUT ELEVATED SWEAT CHLORIDE
13890,congenital myopathy with internal nuclei and atypical cores,CONGENITAL MYOPATHY WITH INTERNAL NUCLEI AND ATYPICAL CORES
8521,tarsal-carpal coalition syndrome,TARSAL-CARPAL COALITION SYNDROME
10619_10358_20720,hereditary hypophosphatemic rickets,HEREDITARY HYPOPHOSPHATEMIC RICKETS
30105_18116,galactosemia,GALACTOSEMIA
10121,thrombocytopenia-absent radius syndrome,THROMBOCYTOPENIA-ABSENT RADIUS SYNDROME
10956,"enamel hypoplasia, cataracts, and aqueductal stenosis","ENAMEL HYPOPLASIA, CATARACTS, AND AQUEDUCTAL STENOSIS"
11881_13034,keratosis palmoplantaris striata,KERATOSIS PALMOPLANTARIS STRIATA
9151,cleft lip/palate-ectodermal dysplasia syndrome,CLEFT LIP/PALATE-ECTODERMAL DYSPLASIA SYNDROME
8603_13774_156,trigonocephaly,TRIGONOCEPHALY
9294_13291_10598_13091_10362_9868_9295_9293_9290_9291_2413_2412,glycogen storage disease,GLYCOGEN STORAGE DISEASE
14831,progeroid and marfanoid aspect-lipodystrophy syndrome,PROGEROID AND MARFANOID ASPECT-LIPODYSTROPHY SYNDROME
11539_12237_15736_15739_15738_8070_12538_12240_14138_14326_14513_12239_9725_15737_18958,nemaline myopathy,NEMALINE MYOPATHY
9288_9287,glycogen storage disease due to glucose-6-phosphatase deficiency,GLYCOGEN STORAGE DISEASE DUE TO GLUCOSE-6-PHOSPHATASE DEFICIENCY
10435_10369_10693,"nystagmus, congenital, X-linked","NYSTAGMUS, CONGENITAL, X-LINKED"
33005_33008_33009_33007_32693_32691_32692_9627,Galloway-Mowat syndrome,GALLOWAY-MOWAT SYNDROME
8322,pseudoachondroplasia,PSEUDOACHONDROPLASIA
12684_908_12434_12180_12506_11459_11831_11460_11189_7152_11188_10975,arrhythmogenic right ventricular dysplasia,ARRHYTHMOGENIC RIGHT VENTRICULAR DYSPLASIA
11456_13444_9728_14374_13916_14537_11752_14997_13718_11190_14158_13917_12680_13442_13302_19005,nephronophthisis,NEPHRONOPHTHISIS
10184_10183_10185_10657_13925,methylmalonic aciduria/acidemia and homocystinuria,METHYLMALONIC ACIDURIA/ACIDEMIA AND HOMOCYSTINURIA
13681,alpha-methylacyl-CoA racemase deficiency,ALPHA-METHYLACYL-COA RACEMASE DEFICIENCY
10248_10737,X-linked spondyloepimetaphyseal dysplasia,X-LINKED SPONDYLOEPIMETAPHYSEAL DYSPLASIA
10674_9659_9660_9661_11093_9662_16316_16315_18937_18938_1586_19249_19302_17171_17172,mucopolysaccharidosis,MUCOPOLYSACCHARIDOSIS
15017_10015_15016_7138_7662_24456_19503,anterior segment dysgenesis,ANTERIOR SEGMENT DYSGENESIS
44206_8975,otospondylomegaepiphyseal dysplasia,OTOSPONDYLOMEGAEPIPHYSEAL DYSPLASIA
14276,combined immunodeficiency due to CD3gamma deficiency,COMBINED IMMUNODEFICIENCY DUE TO CD3GAMMA DEFICIENCY
8211,"pseudoleprechaunism syndrome, Patterson type","PSEUDOLEPRECHAUNISM SYNDROME, PATTERSON TYPE"
9008,heart defect - tongue hamartoma - polysyndactyly syndrome,HEART DEFECT - TONGUE HAMARTOMA - POLYSYNDACTYLY SYNDROME
10031,Sjogren-Larsson syndrome,SJOGREN-LARSSON SYNDROME
10884,"muscular dystrophy, scapulohumeral","MUSCULAR DYSTROPHY, SCAPULOHUMERAL"
11839,Newfoundland cone-rod dystrophy,NEWFOUNDLAND CONE-ROD DYSTROPHY
32584,"ectodermal dysplasia 14, hair/tooth type with or without hypohidrosis","ECTODERMAL DYSPLASIA 14, HAIR/TOOTH TYPE WITH OR WITHOUT HYPOHIDROSIS"
7204_14573_16085,Cole-Carpenter syndrome,COLE-CARPENTER SYNDROME
12127_13390_14144_12193_13161_9676_14977_30014_12248_14900_11787_14474_12652_12699_29136_11028_14788_11968_29133_11170_9683_11423_9675_14129_13162_13440_9677_14142_14782_13297_12034_15152_15151_16971,limb-girdle muscular dystrophy,LIMB-GIRDLE MUSCULAR DYSTROPHY
10909_13829_13834_15797,UV-sensitive syndrome,UV-SENSITIVE SYNDROME
12214_11826_24536_13874_40502,glucocorticoid deficiency,GLUCOCORTICOID DEFICIENCY
11530_8620_7977_23599,mesomelic dysplasia,MESOMELIC DYSPLASIA
7094_10521_15008_21547_7538_8770_8772_14560_32717_14540_8771_7092_19507_15047_15048,amelogenesis imperfecta,AMELOGENESIS IMPERFECTA
10838,gonadal agenesis,GONADAL AGENESIS
8648,"ventricular tachycardia, familial","VENTRICULAR TACHYCARDIA, FAMILIAL"
9882,"plasma clot retraction factor, deficiency of","PLASMA CLOT RETRACTION FACTOR, DEFICIENCY OF"
14945,"myopathy, distal, with rimmed vacuoles","MYOPATHY, DISTAL, WITH RIMMED VACUOLES"
10952,hereditary hyperferritinemia with congenital cataracts,HEREDITARY HYPERFERRITINEMIA WITH CONGENITAL CATARACTS
8174_14325_14324_8173_16471,pachyonychia congenita,PACHYONYCHIA CONGENITA
100316_12738_14550_14548_13279_12737_13062_12736_11377_32915_13370_13367_13372_2442_32756,long QT syndrome,LONG QT SYNDROME
100157_100156_9853,Imerslund-Grasbeck syndrome,IMERSLUND-GRASBECK SYNDROME
8257,"platelet responsiveness to adrenaline, depressed","PLATELET RESPONSIVENESS TO ADRENALINE, DEPRESSED"
9496,Kniest-like dysplasia with pursed lips and ectopia lentis,KNIEST-LIKE DYSPLASIA WITH PURSED LIPS AND ECTOPIA LENTIS
20628_20629,"microcephaly, growth restriction and increased sister chromatid exchange","MICROCEPHALY, GROWTH RESTRICTION AND INCREASED SISTER CHROMATID EXCHANGE"
13524,bleeding diathesis due to thromboxane synthesis deficiency,BLEEDING DIATHESIS DUE TO THROMBOXANE SYNTHESIS DEFICIENCY
8794,"anhidrosis, familial generalized, with abnormal or absent sweat glands","ANHIDROSIS, FAMILIAL GENERALIZED, WITH ABNORMAL OR ABSENT SWEAT GLANDS"
9652,mucolipidosis type III gamma,MUCOLIPIDOSIS TYPE III GAMMA
12556,DK1-CDG,DK1-CDG
9926,autosomal recessive multiple pterygium syndrome,AUTOSOMAL RECESSIVE MULTIPLE PTERYGIUM SYNDROME
8473_8476_11198_10275_10068_32571_12108_32885_60702_11252_19666_13014_10076,spondyloepimetaphyseal dysplasia,SPONDYLOEPIMETAPHYSEAL DYSPLASIA
9550_7937_12717_13480,renal hypomagnesemia,RENAL HYPOMAGNESEMIA
14454_9337_32564,Hennekam lymphangiectasia-lymphedema syndrome,HENNEKAM LYMPHANGIECTASIA-LYMPHEDEMA SYNDROME
10074,"brachyolmia type 1, toledo type","BRACHYOLMIA TYPE 1, TOLEDO TYPE"
11604,spondylo-ocular syndrome,SPONDYLO-OCULAR SYNDROME
9609,methylcobalamin deficiency type cblG,METHYLCOBALAMIN DEFICIENCY TYPE CBLG
12205,autosomal dominant striatal neurodegeneration type 1,AUTOSOMAL DOMINANT STRIATAL NEURODEGENERATION TYPE 1
14850,retinitis pigmentosa and erythrocytic microcytosis,RETINITIS PIGMENTOSA AND ERYTHROCYTIC MICROCYTOSIS
11481_10903_10929_44315_14705_15467_15337_15469,craniosynostosis,CRANIOSYNOSTOSIS
13543,trypsinogen deficiency,TRYPSINOGEN DEFICIENCY
14589_18911_10894_11668_12818_7452_13240_12348_12513_13242_7453_14674_11667,maturity-onset diabetes of the young,MATURITY-ONSET DIABETES OF THE YOUNG
9702,myopathy due to malate-aspartate shuttle defect,MYOPATHY DUE TO MALATE-ASPARTATE SHUTTLE DEFECT
9786_15011_12543_10698_14571_24569_8133_33549_3608_11536,optic atrophy,OPTIC ATROPHY
8195,paramyotonia congenita of Von Eulenburg,PARAMYOTONIA CONGENITA OF VON EULENBURG
8702_10966_8701_19648,achondrogenesis,ACHONDROGENESIS
13712_24465_10424,"surfactant metabolism dysfunction, pulmonary","SURFACTANT METABOLISM DYSFUNCTION, PULMONARY"
11025,Cayman type cerebellar ataxia,CAYMAN TYPE CEREBELLAR ATAXIA
14841_32806_10495_21013,trichothiodystrophy nonphotosensitive,TRICHOTHIODYSTROPHY NONPHOTOSENSITIVE
12474_14002_11545_10899_11297_20300,autosomal dominant nocturnal frontal lobe epilepsy,AUTOSOMAL DOMINANT NOCTURNAL FRONTAL LOBE EPILEPSY
11760,Scheie syndrome,SCHEIE SYNDROME
54551_54550,"avascular necrosis of femoral head, primary","AVASCULAR NECROSIS OF FEMORAL HEAD, PRIMARY"
20733_8509_14125_8511_151,symphalangism,SYMPHALANGISM
14080,osteosclerotic metaphyseal dysplasia,OSTEOSCLEROTIC METAPHYSEAL DYSPLASIA
14810,pancytopenia due to IKZF1 mutations,PANCYTOPENIA DUE TO IKZF1 MUTATIONS
8582,tooth and nail syndrome,TOOTH AND NAIL SYNDROME
10604_10602_15720_15719_18660_15721_15715_15716_15717,hemophilia,HEMOPHILIA
32899_42490_13139,"neutropenia, severe congenital, autosomal dominant","NEUTROPENIA, SEVERE CONGENITAL, AUTOSOMAL DOMINANT"
9269_13612_54722_127,geleophysic dysplasia,GELEOPHYSIC DYSPLASIA
14219,"alacrima, achalasia, and intellectual disability syndrome","ALACRIMA, ACHALASIA, AND INTELLECTUAL DISABILITY SYNDROME"
8226_12051,"periodontitis, aggressive","PERIODONTITIS, AGGRESSIVE"
7126_8468_24512_13192,"spondyloarthropathy, susceptibility to","SPONDYLOARTHROPATHY, SUSCEPTIBILITY TO"
9844,pellagra-like syndrome,PELLAGRA-LIKE SYNDROME
12500_13739_19557,chilblain lupus,CHILBLAIN LUPUS
10925,velo-facial-skeletal syndrome,VELO-FACIAL-SKELETAL SYNDROME
11914,hypotrichosis-lymphedema-telangiectasia syndrome,HYPOTRICHOSIS-LYMPHEDEMA-TELANGIECTASIA SYNDROME
40500_32824_60724_60627_29140,glycosylphosphatidylinositol biosynthesis defect,GLYCOSYLPHOSPHATIDYLINOSITOL BIOSYNTHESIS DEFECT
9107,diastrophic dysplasia,DIASTROPHIC DYSPLASIA
7399,TWIST1-related craniosynostosis,TWIST1-RELATED CRANIOSYNOSTOSIS
12892,connective tissue disorder due to lysyl hydroxylase-3 deficiency,CONNECTIVE TISSUE DISORDER DUE TO LYSYL HYDROXYLASE-3 DEFICIENCY
10870,tibial muscular dystrophy,TIBIAL MUSCULAR DYSTROPHY
10283_10460_30908_10427_10407_15601_10417_10661_10355_10306_10658_10319_10285_10286_10277_10500_10574_10398_10270_10664_10409_10461_10501_10402_10483_10729_19422_19423_19420_19421_19769_19766_19181_100284_17616,X-linked intellectual disability,X-LINKED INTELLECTUAL DISABILITY
7764,"autosomal dominant osteosclerosis, Worth type","AUTOSOMAL DOMINANT OSTEOSCLEROSIS, WORTH TYPE"
33492_32702_32912_32791_14838_7617_54831_15452,Coffin-Siris syndrome,COFFIN-SIRIS SYNDROME
12465,hypercoagulability syndrome due to glycosylphosphatidylinositol deficiency,HYPERCOAGULABILITY SYNDROME DUE TO GLYCOSYLPHOSPHATIDYLINOSITOL DEFICIENCY
13118,Nijmegen breakage syndrome-like disorder,NIJMEGEN BREAKAGE SYNDROME-LIKE DISORDER
