drugbank_id,drug_name,drug_name_upper
DB03682,"Dibenzofuran-4,6-Dicarboxylic Acid","DIBENZOFURAN-4,6-DICARBOXYLIC ACID"
DB04474,8-anilinonaphthalene-1-sulfonic acid,8-ANILINONAPHTHALENE-1-SULFONIC ACID
DB04674,"2-HYDROXY-3,5-DIIODOBENZOIC ACID","2-HYDROXY-3,5-DIIODOBENZOIC ACID"
DB04756,"2-[(3,5-Dichloro-4-trioxidanylphenyl)amino]benzoic acid","2-[(3,5-DICHLORO-4-TRIOXIDANYLPHENYL)AMINO]BENZOIC ACID"
DB05235,NRP409,NRP409
DB05352,Fx-1006A,FX-1006A
DB06885,3-[({(1E)-[2-(trifluoromethyl)phenyl]methylidene}amino)oxy]propanoic acid,3-[({(1E)-[2-(TRIFLUOROMETHYL)PHENYL]METHYLIDENE}AMINO)OXY]PROPANOIC ACID
DB06907,"2-(2,6-DICHLOROPHENYL)-1,3-BENZOXAZOLE-6-CARBOXYLIC ACID","2-(2,6-DICHLOROPHENYL)-1,3-BENZOXAZOLE-6-CARBOXYLIC ACID"
DB06935,"2',6'-DIFLUOROBIPHENYL-4-CARBOXYLIC ACID","2',6'-DIFLUOROBIPHENYL-4-CARBOXYLIC ACID"
DB07047,"2',4'-DICHLORO-4-HYDROXY-1,1'-BIPHENYL-3-CARBOXYLIC ACID","2',4'-DICHLORO-4-HYDROXY-1,1'-BIPHENYL-3-CARBOXYLIC ACID"
DB07176,1-Naphthylamine-5-sulfonic acid,1-NAPHTHYLAMINE-5-SULFONIC ACID
DB07201,(2S)-3-[(9H-fluoren-9-ylideneamino)oxy]-2-methylpropanoic acid,(2S)-3-[(9H-FLUOREN-9-YLIDENEAMINO)OXY]-2-METHYLPROPANOIC ACID
DB07240,3-[(9H-fluoren-9-ylideneamino)oxy]propanoic acid,3-[(9H-FLUOREN-9-YLIDENEAMINO)OXY]PROPANOIC ACID
DB07282,3-({[(1Z)-(2-methoxyphenyl)methylidene]amino}oxy)propanoic acid,3-({[(1Z)-(2-METHOXYPHENYL)METHYLIDENE]AMINO}OXY)PROPANOIC ACID
DB07693,"N-(3,5-dibromo-4-hydroxyphenyl)-2,6-dimethylbenzamide","N-(3,5-DIBROMO-4-HYDROXYPHENYL)-2,6-DIMETHYLBENZAMIDE"
DB07694,"2,5-dichloro-N-(3,5-dibromo-4-hydroxyphenyl)benzamide","2,5-DICHLORO-N-(3,5-DIBROMO-4-HYDROXYPHENYL)BENZAMIDE"
DB07695,"N-(3,5-dibromo-4-hydroxyphenyl)-4-hydroxy-3,5-dimethylbenzamide","N-(3,5-DIBROMO-4-HYDROXYPHENYL)-4-HYDROXY-3,5-DIMETHYLBENZAMIDE"
DB07753,"3',5'-DIFLUOROBIPHENYL-4-CARBOXYLIC ACID","3',5'-DIFLUOROBIPHENYL-4-CARBOXYLIC ACID"
DB07775,"3',5'-DIBROMO-2',4,4',6'-TETRAHYDROXY AURONE","3',5'-DIBROMO-2',4,4',6'-TETRAHYDROXY AURONE"
DB07962,"METHYL N-[(2',4'-DIFLUORO-4-HYDROXY-5-IODOBIPHENYL-3-YL)CARBONYL]-BETA-ALANINATE","METHYL N-[(2',4'-DIFLUORO-4-HYDROXY-5-IODOBIPHENYL-3-YL)CARBONYL]-BETA-ALANINATE"
DB07963,"N-[(2',4'-DIFLUORO-4-HYDROXY-5-IODOBIPHENYL-3-YL)CARBONYL]-BETA-ALANINE","N-[(2',4'-DIFLUORO-4-HYDROXY-5-IODOBIPHENYL-3-YL)CARBONYL]-BETA-ALANINE"
DB08100,"2,6-dimethyl-4-[(E)-2-phenylethenyl]phenol","2,6-DIMETHYL-4-[(E)-2-PHENYLETHENYL]PHENOL"
DB08101,"2,6-dibromo-4-[(E)-2-phenylethenyl]phenol","2,6-DIBROMO-4-[(E)-2-PHENYLETHENYL]PHENOL"
DB08102,"3,5-dibromobiphenyl-4-ol","3,5-DIBROMOBIPHENYL-4-OL"
DB08103,"2,6-dibromo-4-phenoxyphenol","2,6-DIBROMO-4-PHENOXYPHENOL"
DB08104,"N-(3,5-dibromo-4-hydroxyphenyl)benzamide","N-(3,5-DIBROMO-4-HYDROXYPHENYL)BENZAMIDE"
DB08205,"4-(1,3-BENZOXAZOL-2-YL)-2,6-DIMETHYLPHENOL","4-(1,3-BENZOXAZOL-2-YL)-2,6-DIMETHYLPHENOL"
DB08206,"4-(1,3-BENZOXAZOL-2-YL)-2,6-DIBROMOPHENOL","4-(1,3-BENZOXAZOL-2-YL)-2,6-DIBROMOPHENOL"
DB08207,"2-(3,5-DIMETHYLPHENYL)-1,3-BENZOXAZOLE","2-(3,5-DIMETHYLPHENYL)-1,3-BENZOXAZOLE"
DB09100,"Thyroid, porcine","THYROID, PORCINE"
DB00200,Hydroxocobalamin,HYDROXOCOBALAMIN
DB13751,Glycyrrhizic acid,GLYCYRRHIZIC ACID
DB09270,Ubidecarenone,UBIDECARENONE
DB11251,Tocopherol,TOCOPHEROL
DB14003,alpha-Tocopherol acetate,ALPHA-TOCOPHEROL ACETATE
DB00523,Alitretinoin,ALITRETINOIN
DB00926,Etretinate,ETRETINATE
DB04942,Tamibarotene,TAMIBAROTENE
DB00893,Iron Dextran,IRON DEXTRAN
DB01294,Bismuth subsalicylate,BISMUTH SUBSALICYLATE
DB05260,Gallium nitrate,GALLIUM NITRATE
DB11136,Chromium,CHROMIUM
DB11182,Rose bengal,ROSE BENGAL
DB13949,Ferric cation,FERRIC CATION
DB14520,Tetraferric tricitrate decahydrate,TETRAFERRIC TRICITRATE DECAHYDRATE
DB14526,Chromic citrate,CHROMIC CITRATE
DB14527,Chromic nitrate,CHROMIC NITRATE
DB14528,Chromium gluconate,CHROMIUM GLUCONATE
DB14529,Chromium nicotinate,CHROMIUM NICOTINATE
DB14530,Chromous sulfate,CHROMOUS SULFATE
DB00070,Hyaluronidase (ovine),HYALURONIDASE (OVINE)
DB00104,Octreotide,OCTREOTIDE
DB00126,Ascorbic acid,ASCORBIC ACID
DB00137,Lutein,LUTEIN
DB00152,Thiamine,THIAMINE
DB00159,Icosapent,ICOSAPENT
DB00165,Pyridoxine,PYRIDOXINE
DB00214,Torasemide,TORASEMIDE
DB00220,Nelfinavir,NELFINAVIR
DB00227,Lovastatin,LOVASTATIN
DB00228,Enflurane,ENFLURANE
DB00237,Butabarbital,BUTABARBITAL
DB00238,Nevirapine,NEVIRAPINE
DB00245,Benzatropine,BENZATROPINE
DB00246,Ziprasidone,ZIPRASIDONE
DB00252,Phenytoin,PHENYTOIN
DB00264,Metoprolol,METOPROLOL
DB00266,Dicoumarol,DICOUMAROL
DB00273,Topiramate,TOPIRAMATE
DB00274,Cefmetazole,CEFMETAZOLE
DB00278,Argatroban,ARGATROBAN
DB00286,Conjugated estrogens,CONJUGATED ESTROGENS
DB00289,Atomoxetine,ATOMOXETINE
DB00294,Etonogestrel,ETONOGESTREL
DB00295,Morphine,MORPHINE
DB00304,Desogestrel,DESOGESTREL
DB00310,Chlorthalidone,CHLORTHALIDONE
DB00313,Valproic acid,VALPROIC ACID
DB00316,Acetaminophen,ACETAMINOPHEN
DB00317,Gefitinib,GEFITINIB
DB00321,Amitriptyline,AMITRIPTYLINE
DB00327,Hydromorphone,HYDROMORPHONE
DB00328,Indomethacin,INDOMETHACIN
DB00332,Ipratropium,IPRATROPIUM
DB00333,Methadone,METHADONE
DB00334,Olanzapine,OLANZAPINE
DB00335,Atenolol,ATENOLOL
DB00343,Diltiazem,DILTIAZEM
DB00404,Alprazolam,ALPRAZOLAM
DB00412,Rosiglitazone,ROSIGLITAZONE
DB00414,Acetohexamide,ACETOHEXAMIDE
DB00415,Ampicillin,AMPICILLIN
DB00421,Spironolactone,SPIRONOLACTONE
DB00430,Cefpiramide,CEFPIRAMIDE
DB00432,Trifluridine,TRIFLURIDINE
DB00454,Meperidine,MEPERIDINE
DB00456,Cefalotin,CEFALOTIN
DB00458,Imipramine,IMIPRAMINE
DB00459,Acitretin,ACITRETIN
DB00461,Nabumetone,NABUMETONE
DB00472,Fluoxetine,FLUOXETINE
DB00476,Duloxetine,DULOXETINE
DB00477,Chlorpromazine,CHLORPROMAZINE
DB00481,Raloxifene,RALOXIFENE
DB00490,Buspirone,BUSPIRONE
DB00495,Zidovudine,ZIDOVUDINE
DB00497,Oxycodone,OXYCODONE
DB00500,Tolmetin,TOLMETIN
DB00503,Ritonavir,RITONAVIR
DB00512,Vancomycin,VANCOMYCIN
DB00515,Cisplatin,CISPLATIN
DB00530,Erlotinib,ERLOTINIB
DB00537,Ciprofloxacin,CIPROFLOXACIN
DB00540,Nortriptyline,NORTRIPTYLINE
DB00544,Fluorouracil,FLUOROURACIL
DB00554,Piroxicam,PIROXICAM
DB00555,Lamotrigine,LAMOTRIGINE
DB00557,Hydroxyzine,HYDROXYZINE
DB00563,Methotrexate,METHOTREXATE
DB00567,Cephalexin,CEPHALEXIN
DB00571,Propranolol,PROPRANOLOL
DB00573,Fenoprofen,FENOPROFEN
DB00575,Clonidine,CLONIDINE
DB00576,Sulfamethizole,SULFAMETHIZOLE
DB00584,Enalapril,ENALAPRIL
DB00595,Oxytetracycline,OXYTETRACYCLINE
DB00598,Labetalol,LABETALOL
DB00603,Medroxyprogesterone acetate,MEDROXYPROGESTERONE ACETATE
DB00605,Sulindac,SULINDAC
DB00607,Nafcillin,NAFCILLIN
DB00608,Chloroquine,CHLOROQUINE
DB00619,Imatinib,IMATINIB
DB00624,Testosterone,TESTOSTERONE
DB00625,Efavirenz,EFAVIRENZ
DB00649,Stavudine,STAVUDINE
DB00655,Estrone,ESTRONE
DB00661,Verapamil,VERAPAMIL
DB00675,Tamoxifen,TAMOXIFEN
DB00677,Isoflurophate,ISOFLUROPHATE
DB00678,Losartan,LOSARTAN
DB00682,Warfarin,WARFARIN
DB00695,Furosemide,FUROSEMIDE
DB00709,Lamivudine,LAMIVUDINE
DB00712,Flurbiprofen,FLURBIPROFEN
DB00714,Apomorphine,APOMORPHINE
DB00717,Norethisterone,NORETHISTERONE
DB00731,Nateglinide,NATEGLINIDE
DB00734,Risperidone,RISPERIDONE
DB00737,Meclizine,MECLIZINE
DB00743,Gadobenic acid,GADOBENIC ACID
DB00744,Zileuton,ZILEUTON
DB00749,Etodolac,ETODOLAC
DB00753,Isoflurane,ISOFLURANE
DB00755,Tretinoin,TRETINOIN
DB00759,Tetracycline,TETRACYCLINE
DB00762,Irinotecan,IRINOTECAN
DB00768,Olopatadine,OLOPATADINE
DB00774,Hydroflumethiazide,HYDROFLUMETHIAZIDE
DB00776,Oxcarbazepine,OXCARBAZEPINE
DB00783,Estradiol,ESTRADIOL
DB00784,Mefenamic acid,MEFENAMIC ACID
DB00787,Acyclovir,ACYCLOVIR
DB00788,Naproxen,NAPROXEN
DB00802,Alfentanil,ALFENTANIL
DB00808,Indapamide,INDAPAMIDE
DB00813,Fentanyl,FENTANYL
DB00814,Meloxicam,MELOXICAM
DB00815,Sodium lauryl sulfate,SODIUM LAURYL SULFATE
DB00818,Propofol,PROPOFOL
DB00829,Diazepam,DIAZEPAM
DB00842,Oxazepam,OXAZEPAM
DB00845,Clofazimine,CLOFAZIMINE
DB00847,Cysteamine,CYSTEAMINE
DB00852,Pseudoephedrine,PSEUDOEPHEDRINE
DB00857,Terbinafine,TERBINAFINE
DB00864,Tacrolimus,TACROLIMUS
DB00870,Suprofen,SUPROFEN
DB00878,Chlorhexidine,CHLORHEXIDINE
DB00879,Emtricitabine,EMTRICITABINE
DB00881,Quinapril,QUINAPRIL
DB00900,Didanosine,DIDANOSINE
DB00903,Etacrynic acid,ETACRYNIC ACID
DB00908,Quinidine,QUINIDINE
DB00912,Repaglinide,REPAGLINIDE
DB00924,Cyclobenzaprine,CYCLOBENZAPRINE
DB00931,Metacycline,METACYCLINE
DB00936,Salicylic acid,SALICYLIC ACID
DB00938,Salmeterol,SALMETEROL
DB00943,Zalcitabine,ZALCITABINE
DB00946,Phenprocoumon,PHENPROCOUMON
DB00950,Fexofenadine,FEXOFENADINE
DB00951,Isoniazid,ISONIAZID
DB00957,Norgestimate,NORGESTIMATE
DB00959,Methylprednisolone,METHYLPREDNISOLONE
DB00977,Ethinylestradiol,ETHINYLESTRADIOL
DB00982,Isotretinoin,ISOTRETINOIN
DB00983,Formoterol,FORMOTEROL
DB00993,Azathioprine,AZATHIOPRINE
DB00995,Auranofin,AURANOFIN
DB00997,Doxorubicin,DOXORUBICIN
DB00999,Hydrochlorothiazide,HYDROCHLOROTHIAZIDE
DB01006,Letrozole,LETROZOLE
DB01009,Ketoprofen,KETOPROFEN
DB01015,Sulfamethoxazole,SULFAMETHOXAZOLE
DB01016,Glyburide,GLYBURIDE
DB01026,Ketoconazole,KETOCONAZOLE
DB01029,Irbesartan,IRBESARTAN
DB01032,Probenecid,PROBENECID
DB01039,Fenofibrate,FENOFIBRATE
DB01044,Gatifloxacin,GATIFLOXACIN
DB01045,Rifampicin,RIFAMPICIN
DB01050,Ibuprofen,IBUPROFEN
DB01053,Benzylpenicillin,BENZYLPENICILLIN
DB01056,Tocainide,TOCAINIDE
DB01057,Echothiophate,ECHOTHIOPHATE
DB01060,Amoxicillin,AMOXICILLIN
DB01062,Oxybutynin,OXYBUTYNIN
DB01067,Glipizide,GLIPIZIDE
DB01068,Clonazepam,CLONAZEPAM
DB01069,Promethazine,PROMETHAZINE
DB01072,Atazanavir,ATAZANAVIR
DB01076,Atorvastatin,ATORVASTATIN
DB01098,Rosuvastatin,ROSUVASTATIN
DB01104,Sertraline,SERTRALINE
DB01110,Miconazole,MICONAZOLE
DB01115,Nifedipine,NIFEDIPINE
DB01118,Amiodarone,AMIODARONE
DB01120,Gliclazide,GLICLAZIDE
DB01124,Tolbutamide,TOLBUTAMIDE
DB01126,Dutasteride,DUTASTERIDE
DB01132,Pioglitazone,PIOGLITAZONE
DB01133,Tiludronic acid,TILUDRONIC ACID
DB01136,Carvedilol,CARVEDILOL
DB01137,Levofloxacin,LEVOFLOXACIN
DB01142,Doxepin,DOXEPIN
DB01147,Cloxacillin,CLOXACILLIN
DB01159,Halothane,HALOTHANE
DB01169,Arsenic trioxide,ARSENIC TRIOXIDE
DB01183,Naloxone,NALOXONE
DB01189,Desflurane,DESFLURANE
DB01195,Flecainide,FLECAINIDE
DB01197,Captopril,CAPTOPRIL
DB01212,Ceftriaxone,CEFTRIAXONE
DB01232,Saquinavir,SAQUINAVIR
DB01234,Dexamethasone,DEXAMETHASONE
DB01235,Levodopa,LEVODOPA
DB01236,Sevoflurane,SEVOFLURANE
DB01238,Aripiprazole,ARIPIPRAZOLE
DB01241,Gemfibrozil,GEMFIBROZIL
DB01242,Clomipramine,CLOMIPRAMINE
DB01264,Darunavir,DARUNAVIR
DB01275,Hydralazine,HYDRALAZINE
DB01276,Exenatide,EXENATIDE
DB01307,Insulin detemir,INSULIN DETEMIR
DB01320,Fosphenytoin,FOSPHENYTOIN
DB01324,Polythiazide,POLYTHIAZIDE
DB01327,Cefazolin,CEFAZOLIN
DB01328,Cefonicid,CEFONICID
DB01329,Cefoperazone,CEFOPERAZONE
DB01330,Cefotetan,CEFOTETAN
DB01364,Ephedrine,EPHEDRINE
DB01370,Aluminium,ALUMINIUM
DB01394,Colchicine,COLCHICINE
DB01396,Digitoxin,DIGITOXIN
DB01397,Magnesium salicylate,MAGNESIUM SALICYLATE
DB01418,Acenocoumarol,ACENOCOUMAROL
DB01420,Testosterone propionate,TESTOSTERONE PROPIONATE
DB01581,Sulfamerazine,SULFAMERAZINE
DB01582,Sulfamethazine,SULFAMETHAZINE
DB01587,Ketazolam,KETAZOLAM
DB01601,Lopinavir,LOPINAVIR
DB01611,Hydroxychloroquine,HYDROXYCHLOROQUINE
DB01614,Acepromazine,ACEPROMAZINE
DB01621,Pipotiazine,PIPOTIAZINE
DB01622,Thioproperazine,THIOPROPERAZINE
DB01623,Thiothixene,THIOTHIXENE
DB01685,Topiroxostat,TOPIROXOSTAT
DB01914,D-glucose,D-GLUCOSE
DB03017,Lauric acid,LAURIC ACID
DB03193,Stearic acid,STEARIC ACID
DB03585,Oxyphenbutazone,OXYPHENBUTAZONE
DB03600,Capric acid,CAPRIC ACID
DB03796,Palmitic Acid,PALMITIC ACID
DB04216,Quercetin,QUERCETIN
DB04224,Oleic Acid,OLEIC ACID
DB04539,Glyphosate,GLYPHOSATE
DB04557,Arachidonic Acid,ARACHIDONIC ACID
DB04574,Estrone sulfate,ESTRONE SULFATE
DB04690,Camptothecin,CAMPTOTHECIN
DB04711,Iodipamide,IODIPAMIDE
DB04816,Dantron,DANTRON
DB04828,Zomepirac,ZOMEPIRAC
DB04855,Dronedarone,DRONEDARONE
DB04861,Nebivolol,NEBIVOLOL
DB04911,Oritavancin,ORITAVANCIN
DB04951,Pirfenidone,PIRFENIDONE
DB05134,Tanespimycin,TANESPIMYCIN
DB05294,Vandetanib,VANDETANIB
DB05382,Iodine,IODINE
DB05521,Telaprevir,TELAPREVIR
DB05812,Abiraterone,ABIRATERONE
DB06119,Cenobamate,CENOBAMATE
DB06201,Rufinamide,RUFINAMIDE
DB06209,Prasugrel,PRASUGREL
DB06216,Asenapine,ASENAPINE
DB06282,Levocetirizine,LEVOCETIRIZINE
DB06290,Simeprevir,SIMEPREVIR
DB06412,Oxymetholone,OXYMETHOLONE
DB06480,Prucalopride,PRUCALOPRIDE
DB06655,Liraglutide,LIRAGLUTIDE
DB06705,Gadofosveset trisodium,GADOFOSVESET TRISODIUM
DB06710,Methyltestosterone,METHYLTESTOSTERONE
DB06716,Fospropofol,FOSPROPOFOL
DB06796,Mangafodipir,MANGAFODIPIR
DB07402,Azapropazone,AZAPROPAZONE
DB07517,3-CARBOXY-4-METHYL-5-PROPYL-2-FURANPROPIONIC,3-CARBOXY-4-METHYL-5-PROPYL-2-FURANPROPIONIC
DB07565,Chloramphenicol succinate,CHLORAMPHENICOL SUCCINATE
DB07992,Indoxyl sulfate,INDOXYL SULFATE
DB08231,Myristic acid,MYRISTIC ACID
DB08496,(R)-warfarin,(R)-WARFARIN
DB08735,"R,S-Warfarin alcohol","R,S-WARFARIN ALCOHOL"
DB08736,"S,R-Warfarin alcohol","S,R-WARFARIN ALCOHOL"
DB08814,Triflusal,TRIFLUSAL
DB08816,Ticagrelor,TICAGRELOR
DB08820,Ivacaftor,IVACAFTOR
DB08828,Vismodegib,VISMODEGIB
DB08860,Pitavastatin,PITAVASTATIN
DB08864,Rilpivirine,RILPIVIRINE
DB08867,Ulipristal,ULIPRISTAL
DB08881,Vemurafenib,VEMURAFENIB
DB08893,Mirabegron,MIRABEGRON
DB08895,Tofacitinib,TOFACITINIB
DB08899,Enzalutamide,ENZALUTAMIDE
DB08931,Riociguat,RIOCIGUAT
DB08932,Macitentan,MACITENTAN
DB09053,Ibrutinib,IBRUTINIB
DB09073,Palbociclib,PALBOCICLIB
DB09079,Nintedanib,NINTEDANIB
DB09087,Potassium alum,POTASSIUM ALUM
DB09093,Chlortetracycline,CHLORTETRACYCLINE
DB09139,Technetium Tc-99m oxidronate,TECHNETIUM TC-99M OXIDRONATE
DB09195,Lorpiprazole,LORPIPRAZOLE
DB09204,Arotinolol,AROTINOLOL
DB09213,Dexibuprofen,DEXIBUPROFEN
DB09223,Blonanserin,BLONANSERIN
DB09229,Aranidipine,ARANIDIPINE
DB09236,Lacidipine,LACIDIPINE
DB09237,Levamlodipine,LEVAMLODIPINE
DB09241,Methylene blue,METHYLENE BLUE
DB09262,Imidafenacin,IMIDAFENACIN
DB09274,Artesunate,ARTESUNATE
DB09280,Lumacaftor,LUMACAFTOR
DB09299,Tenofovir alafenamide,TENOFOVIR ALAFENAMIDE
DB09333,Iopodic acid,IOPODIC ACID
DB09347,Acetrizoic acid,ACETRIZOIC ACID
DB09348,Propiolactone,PROPIOLACTONE
DB09383,Meprednisone,MEPREDNISONE
DB09418,Potassium perchlorate,POTASSIUM PERCHLORATE
DB09526,Hydroquinone,HYDROQUINONE
DB09564,Insulin degludec,INSULIN DEGLUDEC
DB11093,Calcium citrate,CALCIUM CITRATE
DB11130,Opium,OPIUM
DB11134,Cupric oxide,CUPRIC OXIDE
DB11148,Butamben,BUTAMBEN
DB11217,Arbutin,ARBUTIN
DB11348,Calcium Phosphate,CALCIUM PHOSPHATE
DB11397,Dichlorvos,DICHLORVOS
DB11575,Grazoprevir,GRAZOPREVIR
DB11590,Thimerosal,THIMEROSAL
DB11637,Delamanid,DELAMANID
DB11641,Vinflunine,VINFLUNINE
DB11642,Pitolisant,PITOLISANT
DB11677,Triheptanoin,TRIHEPTANOIN
DB11689,Selumetinib,SELUMETINIB
DB11703,Acalabrutinib,ACALABRUTINIB
DB11753,Rifamycin,RIFAMYCIN
DB11757,Istradefylline,ISTRADEFYLLINE
DB11796,Fostemsavir,FOSTEMSAVIR
DB11820,Nifurtimox,NIFURTIMOX
DB11827,Ertugliflozin,ERTUGLIFLOZIN
DB11828,Neratinib,NERATINIB
DB11853,Relugolix,RELUGOLIX
DB11855,Revefenacin,REVEFENACIN
DB11943,Delafloxacin,DELAFLOXACIN
DB11963,Dacomitinib,DACOMITINIB
DB11978,Glasdegib,GLASDEGIB
DB12001,Abemaciclib,ABEMACICLIB
DB12141,Gilteritinib,GILTERITINIB
DB12404,Remimazolam,REMIMAZOLAM
DB12455,Omadacycline,OMADACYCLINE
DB12466,Favipiravir,FAVIPIRAVIR
DB12483,Copanlisib,COPANLISIB
DB12674,Lurbinectedin,LURBINECTEDIN
DB12836,Grapiprant,GRAPIPRANT
DB12941,Darolutamide,DAROLUTAMIDE
DB12978,Pexidartinib,PEXIDARTINIB
DB13014,Hypericin,HYPERICIN
DB13421,Edoxudine,EDOXUDINE
DB13909,Bismuth subgallate,BISMUTH SUBGALLATE
DB13928,Semaglutide,SEMAGLUTIDE
DB13943,Testosterone cypionate,TESTOSTERONE CYPIONATE
DB13944,Testosterone enanthate,TESTOSTERONE ENANTHATE
DB13946,Testosterone undecanoate,TESTOSTERONE UNDECANOATE
DB13952,Estradiol acetate,ESTRADIOL ACETATE
DB13953,Estradiol benzoate,ESTRADIOL BENZOATE
DB13954,Estradiol cypionate,ESTRADIOL CYPIONATE
DB13955,Estradiol dienanthate,ESTRADIOL DIENANTHATE
DB13956,Estradiol valerate,ESTRADIOL VALERATE
DB14126,Tenofovir,TENOFOVIR
DB14185,Aripiprazole lauroxil,ARIPIPRAZOLE LAUROXIL
DB14481,Calcium phosphate dihydrate,CALCIUM PHOSPHATE DIHYDRATE
DB14513,Magnesium,MAGNESIUM
DB14517,Aluminium phosphate,ALUMINIUM PHOSPHATE
DB14518,Aluminum acetate,ALUMINUM ACETATE
DB14533,Zinc chloride,ZINC CHLORIDE
DB14548,"Zinc sulfate, unspecified form","ZINC SULFATE, UNSPECIFIED FORM"
DB14582,Patisiran,PATISIRAN
DB14649,Dexamethasone acetate,DEXAMETHASONE ACETATE
DB14840,Ripretinib,RIPRETINIB
DB14879,Cefiderocol,CEFIDEROCOL
DB14999,Human interferon beta,HUMAN INTERFERON BETA
DB15093,Somapacitan,SOMAPACITAN
DB15305,Risdiplam,RISDIPLAM
DB15444,Elexacaftor,ELEXACAFTOR
DB15534,Colchiceine,COLCHICEINE
DB15690,Fluoroestradiol F-18,FLUOROESTRADIOL F-18
DB00023,Asparaginase Escherichia coli,ASPARAGINASE ESCHERICHIA COLI
DB00059,Pegaspargase,PEGASPARGASE
DB00322,Floxuridine,FLOXURIDINE
DB00532,Mephenytoin,MEPHENYTOIN
DB00627,Niacin,NIACIN
DB00636,Clofibrate,CLOFIBRATE
DB00754,Ethotoin,ETHOTOIN
DB00939,Meclofenamic acid,MECLOFENAMIC ACID
DB01109,Heparin,HEPARIN
DB01219,Dantrolene,DANTROLENE
